Instance,Algorithm,Run,Best,Worst,Avg,Std,pop_size,gen,Px,Pm,tournament,Elitism,cooling,innerLoop
a-n32-k5.vrp,ga,1,984.9838,1867.9108,1228.6494,165.6158,200,3,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,997.4605,1691.7928,1243.5093,136.1722,200,3,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,978.9517,1517.0935,1147.5605,132.6070,200,7,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,900.6483,1460.9084,1111.8702,128.7063,200,5,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,881.3056,1465.7422,1111.5090,128.5743,200,6,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,939.4932,1682.6919,1156.1666,122.3003,200,4,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,891.9400,1629.6143,1112.4943,136.3089,200,7,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,989.4423,1505.3369,1136.7740,110.6239,200,5,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,997.4605,1458.4042,1169.0386,104.5861,200,4,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,978.9517,1592.4213,1168.0470,146.9127,200,8,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,900.6483,1526.4343,1097.9708,139.2254,200,6,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,881.3056,1403.8910,1107.9379,136.6325,200,7,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,939.4932,1580.8054,1146.4613,140.3567,200,5,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,891.9400,1589.8667,1125.4486,145.9716,200,8,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,976.1008,1460.1335,1141.9061,101.2491,200,5,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,978.9517,1484.2935,1182.9493,134.0468,200,9,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,900.6483,1544.7360,1122.1367,148.8313,200,7,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,881.3056,1472.3141,1108.3234,139.8812,200,8,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,891.9400,1405.5258,1103.1130,129.7502,200,9,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,939.4932,1530.7062,1135.2640,134.0492,200,6,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,976.1008,1519.3575,1134.2852,111.2084,200,6,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,978.9517,1595.9156,1196.1003,156.4700,200,10,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,878.4925,1506.3512,1139.7103,160.2527,200,8,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,891.9400,1517.1833,1112.9921,139.0574,200,10,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,930.2130,1494.1970,1112.2504,128.4785,200,7,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,976.1008,1391.1984,1125.9921,100.1856,200,7,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,978.9517,1537.4716,1197.7754,154.7293,200,11,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,1050.5728,2199.8845,1618.4419,294.5700,200,2,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,891.9400,1522.0970,1108.4478,128.7116,200,11,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,976.1008,1667.5601,1152.9744,139.6253,200,8,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,1023.8994,1618.7560,1230.1962,133.1728,200,3,0.9000,0.0500,10,10,0.0000,0
a-n32-k5.vrp,ga,1,973.0835,1498.2986,1140.3350,108.6774,200,6,0.9000,0.0500,10,10,0.0000,0
