Instance,Algorithm,Runs,Best,Worst,Avg,Std,pop_size,gen,Px,Pm,Tour,cooling,innerLoop
a-n32-k5.vrp,greedy,31,767.8952,954.8196,838.5502,45.4388,200,50000,0.8,0.05,10,0.9999,200
a-n32-k5.vrp,random,10000,1450.4375,2514.7173,1939.1515,137.5063,200,50000,0.8,0.05,10,0.9999,200
a-n32-k5.vrp,sa,10,573.6608,634.5684,587.4840,21.6173,200,50000,0.8,0.05,10,0.9999,200
a-n32-k5.vrp,ga,10,599.6978,686.0795,651.5049,30.0080,200,50000,0.8,0.05,10,0.9999,200
